Division,District,Thana / Upazila,Market Classification,FMCG Trade Class,Primary Sector,Consumer Profile Tag,Likely Top FMCG Categories,Distribution Priority
Chattogram,Feni,Parshuram,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Feni,Sonagazi,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Feni,Fulgazi,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Noakhali,Begumganj,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Noakhali,Chatkhil,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Noakhali,Companiganj,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Noakhali,Hatiya,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Chattogram,Noakhali,Kabir Hat,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Noakhali,Noakhali Sadar,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Chattogram,Noakhali,Senbagh,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Noakhali,Sonaimuri,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Noakhali,Subarna Char,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Chattogram,Lakshmipur,Kamalnagar,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Chattogram,Lakshmipur,Lakshmipur Sadar,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Chattogram,Lakshmipur,Ramganj,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Lakshmipur,Ramgati,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Chattogram,Lakshmipur,Roypur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Chandpur,Chandpur Sadar,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Chattogram,Chandpur,Faridganj,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Chattogram,Chandpur,Haimchar,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Chattogram,Chandpur,Hajiganj,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Chandpur,Kachua,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Chattogram,Chandpur,Matlab North,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Chattogram,Chandpur,Matlab South,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Chandpur,Shahrasti,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Brahmanbaria,Akhaura,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Chattogram,Brahmanbaria,Ashuganj,Semi-Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Chattogram,Brahmanbaria,Bancharampur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Brahmanbaria,Brahmanbaria Sadar,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Chattogram,Brahmanbaria,Kasba,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Brahmanbaria,Nabinagar,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Brahmanbaria,Nasirnagar,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Brahmanbaria,Sarail,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Brahmanbaria,Bijoynagar,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Rangamati,Baghaichhari,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Rangamati,Barkal,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Rangamati,Juraichhari,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Chattogram,Rangamati,Kaptai,Rural,General Trade,Industry,General FMCG Consumer,"Biscuits, soap, noodles, beverages",C
Chattogram,Rangamati,Kaukhali,Rural,General Trade,Agriculture,Agri-Surplus Rural Consumer,"Biscuits, soap, hair oil, beverages, noodles",B
Chattogram,Rangamati,Langadu,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Chattogram,Rangamati,Naniarchar,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Rangamati,Rajasthali,Rural,General Trade,Agriculture,Agri-Surplus Rural Consumer,"Biscuits, soap, hair oil, beverages, noodles",B
Chattogram,Rangamati,Rangamati Sadar,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Chattogram,Rangamati,Bilaichhari,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Khagrachhari,Dighinala,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Khagrachhari,Guimara,Rural,General Trade,Agriculture,Agri-Surplus Rural Consumer,"Biscuits, soap, hair oil, beverages, noodles",B
Chattogram,Khagrachhari,Khagrachhari Sadar,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Chattogram,Khagrachhari,Lakshmichhari,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Khagrachhari,Mahalchhari,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Chattogram,Khagrachhari,Manikchhari,Rural,General Trade,Agriculture,Tea Belt Rural Consumer,"Tea, biscuits, soaps, hair oil, noodles",B
Chattogram,Khagrachhari,Matiranga,Rural,General Trade,Agriculture,Tea Belt Rural Consumer,"Tea, biscuits, soaps, hair oil, noodles",B
Chattogram,Khagrachhari,Panchhari,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Khagrachhari,Ramgarh,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Bandarban,Ali Kadam,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Bandarban,Bandarban Sadar,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Chattogram,Bandarban,Lama,Rural,General Trade,Agriculture,Agri-Surplus Rural Consumer,"Biscuits, soap, hair oil, beverages, noodles",B
Chattogram,Bandarban,Naikhongchhari,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Bandarban,Rowangchhari,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Bandarban,Ruma,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Chattogram,Bandarban,Thanchi,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Rajshahi,Boalia,Urban,Mixed (GT+MT),Services,Premium Urban Consumer,"Personal care, packaged food, beverages, household care",A
Rajshahi,Rajshahi,Motihar,Urban,Modern Trade,Services,Premium Urban Consumer,"Personal care, packaged food, beverages, household care",A
Rajshahi,Rajshahi,Rajpara,Urban,Mixed (GT+MT),Services,Premium Urban Consumer,"Personal care, packaged food, beverages, household care",A
Rajshahi,Rajshahi,Shah Makhdum,Urban,General Trade,Services,Urban GT Shopper,"Packaged food, beverages, personal care, household",A
Rajshahi,Rajshahi,Bagha,Rural,General Trade,Agriculture,Agri-Surplus Rural Consumer,"Biscuits, soap, hair oil, beverages, noodles",B
Rajshahi,Rajshahi,Bagmara,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Rajshahi,Charghat,Rural,General Trade,Agriculture,Agri-Surplus Rural Consumer,"Biscuits, soap, hair oil, beverages, noodles",B
Rajshahi,Rajshahi,Durgapur,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Rajshahi,Rajshahi,Godagari,Rural,General Trade,Agriculture,Agri-Surplus Rural Consumer,"Biscuits, soap, hair oil, beverages, noodles",B
Rajshahi,Rajshahi,Mohanpur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Rajshahi,Paba,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Rajshahi,Rajshahi,Puthia,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Rajshahi,Tanore,Rural,General Trade,Agriculture,Agri-Surplus Rural Consumer,"Biscuits, soap, hair oil, beverages, noodles",B
Rajshahi,Bogura,Adamdighi,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Bogura,Bogura Sadar,Semi-Urban,Mixed (GT+MT),Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Rajshahi,Bogura,Dhunat,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Bogura,Dhupchanchia,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Bogura,Gabtali,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Bogura,Kahaloo,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Bogura,Nandigram,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Bogura,Sariakandi,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Rajshahi,Bogura,Shajahanpur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Bogura,Sherpur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Bogura,Shibganj,Rural,General Trade,Agriculture,Agri-Surplus Rural Consumer,"Biscuits, soap, hair oil, beverages, noodles",B
Rajshahi,Bogura,Sonatala,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Chapai Nawabganj,Bholahat,Rural,General Trade,Agriculture,Agri-Surplus Rural Consumer,"Biscuits, soap, hair oil, beverages, noodles",B
Rajshahi,Chapai Nawabganj,Chapai Nawabganj Sadar,Semi-Urban,General Trade,Agriculture,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Rajshahi,Chapai Nawabganj,Gomastapur,Rural,General Trade,Agriculture,Agri-Surplus Rural Consumer,"Biscuits, soap, hair oil, beverages, noodles",B
Rajshahi,Chapai Nawabganj,Nachole,Rural,General Trade,Agriculture,Agri-Surplus Rural Consumer,"Biscuits, soap, hair oil, beverages, noodles",B
Rajshahi,Chapai Nawabganj,Shibganj,Rural,General Trade,Agriculture,Agri-Surplus Rural Consumer,"Biscuits, soap, hair oil, beverages, noodles",B
Rajshahi,Naogaon,Atrai,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Naogaon,Badalgachhi,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Naogaon,Dhamoirhat,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Naogaon,Mahadebpur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Naogaon,Manda,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Naogaon,Mohadevpur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Naogaon,Naogaon Sadar,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Rajshahi,Naogaon,Niamatpur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Naogaon,Patnitala,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Naogaon,Porsha,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Naogaon,Raninagar,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Natore,Bagatipara,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Natore,Baraigram,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Natore,Gurudaspur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Natore,Lalpur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Natore,Natore Sadar,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Rajshahi,Natore,Singra,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Pabna,Atgharia,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Pabna,Bera,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Pabna,Bhangura,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Pabna,Chatmohar,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Pabna,Faridpur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Pabna,Ishwardi,Semi-Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Rajshahi,Pabna,Pabna Sadar,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Rajshahi,Pabna,Santhia,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Pabna,Sujanagar,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Sirajganj,Belkuchi,Semi-Urban,General Trade,Industry,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Rajshahi,Sirajganj,Chauhali,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Rajshahi,Sirajganj,Kamarkhanda,Rural,General Trade,Industry,General FMCG Consumer,"Biscuits, soap, noodles, beverages",C
Rajshahi,Sirajganj,Kazipur,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Rajshahi,Sirajganj,Raiganj,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Sirajganj,Shahjadpur,Semi-Urban,General Trade,Industry,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Rajshahi,Sirajganj,Sirajganj Sadar,Semi-Urban,General Trade,Industry,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Rajshahi,Sirajganj,Tarash,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Sirajganj,Ullahpara,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Joypurhat,Joypurhat Sadar,Semi-Urban,Mixed (GT+MT),Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Rajshahi,Joypurhat,Akkelpur,Rural,General Trade,Agriculture,Agri-Surplus Rural Consumer,"Biscuits, soap, hair oil, beverages, noodles",B
Rajshahi,Joypurhat,Kalai,Rural,General Trade,Agriculture,Agri-Surplus Rural Consumer,"Biscuits, soap, hair oil, beverages, noodles",B
Rajshahi,Joypurhat,Khetlal,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Rajshahi,Joypurhat,Panchbibi,Semi-Urban,General Trade,Agriculture,Border / Port Trade Consumer,"Packaged food, beverages, personal care",B
Khulna,Khulna,Daulatpur,Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Khulna,Khulna,Khan Jahan Ali,Urban,General Trade,Services,Urban GT Shopper,"Packaged food, beverages, personal care, household",A
Khulna,Khulna,Khalishpur,Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Khulna,Khulna,Khulna Sadar,Urban,Mixed (GT+MT),Services,Premium Urban Consumer,"Personal care, packaged food, beverages, household care",A
Khulna,Khulna,Sonadanga,Urban,Mixed (GT+MT),Services,Premium Urban Consumer,"Personal care, packaged food, beverages, household care",A
Khulna,Khulna,Aira,Rural,General Trade,Agriculture,Coastal Aquaculture Community,"Basic food, soap, salt, mosquito coil, household essentials",C
Khulna,Khulna,Batiaghata,Rural,General Trade,Agriculture,Coastal Aquaculture Community,"Basic food, soap, salt, mosquito coil, household essentials",C
Khulna,Khulna,Dacope,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Khulna,Khulna,Dighalia,Rural,General Trade,Agriculture,Coastal Aquaculture Community,"Basic food, soap, salt, mosquito coil, household essentials",C
Khulna,Khulna,Dumuria,Rural,General Trade,Agriculture,Coastal Aquaculture Community,"Basic food, soap, salt, mosquito coil, household essentials",C
Khulna,Khulna,Koyra,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Khulna,Khulna,Paikgachha,Rural,General Trade,Agriculture,Coastal Aquaculture Community,"Basic food, soap, salt, mosquito coil, household essentials",C
Khulna,Khulna,Phultala,Semi-Urban,General Trade,Industry,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Khulna,Khulna,Rupsha,Semi-Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Khulna,Khulna,Terokhada,Rural,General Trade,Agriculture,Coastal Aquaculture Community,"Basic food, soap, salt, mosquito coil, household essentials",C
Khulna,Bagerhat,Bagerhat Sadar,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Khulna,Bagerhat,Chitalmari,Rural,General Trade,Agriculture,Coastal Aquaculture Community,"Basic food, soap, salt, mosquito coil, household essentials",C
Khulna,Bagerhat,Fakirhat,Rural,General Trade,Agriculture,Coastal Aquaculture Community,"Basic food, soap, salt, mosquito coil, household essentials",C
Khulna,Bagerhat,Kachua,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Khulna,Bagerhat,Mollahat,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Khulna,Bagerhat,Mongla,Semi-Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Khulna,Bagerhat,Morrelganj,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Khulna,Bagerhat,Rampal,Rural,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Khulna,Bagerhat,Sarankhola,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Khulna,Satkhira,Assasuni,Rural,General Trade,Agriculture,Coastal Aquaculture Community,"Basic food, soap, salt, mosquito coil, household essentials",C
Khulna,Satkhira,Debhata,Rural,General Trade,Agriculture,Coastal Aquaculture Community,"Basic food, soap, salt, mosquito coil, household essentials",C
Khulna,Satkhira,Kalaroa,Rural,General Trade,Agriculture,Coastal Aquaculture Community,"Basic food, soap, salt, mosquito coil, household essentials",C
Khulna,Satkhira,Kaliganj,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Khulna,Satkhira,Satkhira Sadar,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Khulna,Satkhira,Shyamnagar,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Khulna,Satkhira,Tala,Rural,General Trade,Agriculture,Coastal Aquaculture Community,"Basic food, soap, salt, mosquito coil, household essentials",C
Khulna,Jessore,Abhaynagor,Semi-Urban,Industrial GT,Industry,Industrial Worker / Blue-Collar,"Biscuits, noodles, low-cost beverages, soaps, mosquito coil",B
Khulna,Jessore,Bagherpara,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Khulna,Jessore,Chaugachha,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Khulna,Jessore,Jhikargachha,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Khulna,Jessore,Jessore Sadar,Semi-Urban,Mixed (GT+MT),Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Khulna,Jessore,Keshabpur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Khulna,Jessore,Manirampur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Khulna,Jessore,Sharsha,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Khulna,Narail,Kalia,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Khulna,Narail,Lohagara,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Khulna,Narail,Narail Sadar,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Khulna,Magura,Magura Sadar,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Khulna,Magura,Mohammadpur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Khulna,Magura,Shalikha,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Khulna,Magura,Sreepur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Khulna,Jhenaidah,Harinakunda,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Khulna,Jhenaidah,Jhenaidah Sadar,Semi-Urban,General Trade,Services,Aspiring Semi-Urban Buyer,"Packaged food, soap, hair oil, biscuits, noodles, beverages",A
Khulna,Jhenaidah,Kaliganj,Rural,General Trade,Agriculture,Riverine / Haor Rural Consumer,"Dried fish, rice-based snacks, soap, matches, basic FMCG",C
Khulna,Jhenaidah,Kotchandpur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
Khulna,Jhenaidah,Maheshpur,Rural,General Trade,Agriculture,Mass Rural Consumer,"Biscuits, soap, salt, matches, hair oil, basic toiletries",C
